"Environnement Canada"
"Valeurs mensuelles pour janvier - 2007"

"Légende"
"Nom","Nom de la station"
"Lat","Latitude (Nord + , degrés)"
"Long","Longitude (Ouest - , degrés)"
"Prov","Province"
"Tm","Température moyenne (°C)"
"DwTm","Jours sans température moyenne valide"
"D","Différence moyenne de température par rapport à la normale (1981-2010) (°C)"
"Tx","Température maximale (°C)"
"DwTx","Jours sans température maximale valide"
"Tn","Température minimale (°C)"
"DwTn","Jours sans température minimale valide"
"S","Chutes de neige (cm)"
"DwS","Jours sans chutes de neige valide"
"S%N","Pourcentage normale (1981-2010) de chutes de neige"
"P","Précipitations totales (mm)"
"DwP","Jours sans hauteur totale de précipitations valide"
"P%N","Pourcentage normale (1981-2010) de précipitations"
"S_G","Neige au sol à la fin du mois (cm)"
"Pd","Nombre de jours avec 1,0 mm ou plus de précipitations"
"BS","Durée d'ensoleillement (heures)"
"DwBS","Jours sans insolation effective valide"
"BS%","Pourcentage normale (1981-2010) d'ensoleillement"
"HDD","Degrés jours sous 18 °C"
"CDD","Degrés jours plus 18 °C"
"Stn_No","Identificateur de la station climatique (les 3 premiers numéros correspondent au district climatique du bassin-versant, les 4 derniers caractère servent au triage alphabétique)."
"ND","Non disponible"

"Nom","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"BEAUPORT","46,837","-71,197","QC","-8,9","1",ND,"6,6","1","-25,1","1","",,ND,"68,9","2",ND,"","11","",,ND,"807,4","0,0","7010565"
"CHARLESBOURG PARC ORLEAN","46,867","-71,267","QC","",,ND,"",,"",,"51,8","0",ND,"93,0","0",ND,"24,0","11","","",ND,"","","7011309"
"COTEAU DU LAC","45,317","-74,167","QC","-7,8","9",ND,"11,5","8","-28,0","9","5,0","9",ND,"43,6","9",ND,"14,0","7","","",ND,"566,6","0,0","7011947"
"DESCHAMBAULT","46,667","-71,917","QC","-10,8","0","1,3","6,5","0","-29,5","0","38,4","0","76,0","69,0","0","90,0","20,0","11","","",ND,"892,3","0,0","7011982"
"DESCHAMBAULT","46,691","-71,972","QC","-11,1","0",ND,"6,3","0","-31,6","0","",,ND,"",,ND,"","","",,ND,"902,1","0,0","7011983"
"DONNACONA 2","46,683","-71,733","QC","-7,7","7","4,7","7,0","7","-26,0","5","32,0","9",ND,"67,3","9",ND,"","12","","",ND,"615,9","0,0","7012071"
"HEROUXVILLE","46,667","-72,600","QC","-12,4","0",ND,"4,5","0","-33,0","0","29,0","2",ND,"46,4","2",ND,"22,0","10","","",ND,"943,1","0,0","7013100"
"JOLIETTE VILLE","46,017","-73,433","QC","-4,9","13","6,7","7,0","13","-26,0","12","27,0","15",ND,"55,0","15",ND,"","8","","",ND,"411,5","0,0","7013362"
"L'ASSOMPTION","45,809","-73,435","QC","-8,4","0",ND,"10,4","0","-26,7","0","",,ND,"70,3","1",ND,"1,0","9","",,ND,"817,9","0,0","7014160"
"LES CEDRES","45,300","-74,050","QC","-8,1","3",ND,"11,0","2","-28,0","2","29,0","0",ND,"70,2","1",ND,"25,0","13","","",ND,"731,3","0,0","7014290"
"LOUISEVILLE","46,267","-73,017","QC","-12,1","4","0,6","6,0","2","-27,5","3","32,2","0","69,0","52,9","1",ND,"12,0","13","","",ND,"812,8","0,0","7014332"
"OKA","45,500","-74,067","QC","-8,6","0","2,3","10,0","0","-29,0","0","35,2","0","59,0","69,0","0","77,0","13,0","15","","",ND,"824,4","0,0","7015730"
"L'ETAPE","47,562","-71,229","QC","-15,5","0",ND,"5,2","0","-36,0","0","",,ND,"79,0","1",ND,"","14","",,ND,"1039,5","0,0","7015791"
"QUEBEC/JEAN LESAGE INTL A","46,800","-71,383","QC","",,"","",,"",,"36,9","0","51,0","82,8","0","96,0","19,0","8","","",ND,"","","7016294"
"RIGAUD","45,500","-74,367","QC","-8,3","3","2,7","10,0","1","-29,0","2","47,0","3",ND,"75,8","3",ND,"20,0","12","","",ND,"735,4","0,0","7016470"
"SAINT-POLYCARPE","45,305","-74,293","QC","-8,1","0",ND,"11,1","0","-28,3","0","",,ND,"",,ND,"","","",,ND,"808,8","0,0","7016474"
"RIVIERE VERTE OUEST","46,983","-71,833","QC","-12,0","0","1,3","5,0","0","-30,0","0","62,8","0","86,0","96,0","0","104,0","36,0","12","","",ND,"929,9","0,0","7016675"
"ST ALBAN","46,717","-72,083","QC","-9,4","0","3,3","8,0","0","-27,0","0","39,8","0","80,0","68,4","0","102,0","21,0","10","","",ND,"850,4","0,0","7016800"
"ST ALEXIS DES MONTS","46,533","-73,150","QC","-11,1","0","2,0","7,0","0","-31,0","0","41,0","0","77,0","48,0","1",ND,"20,0","11","","",ND,"903,5","0,0","7016816"
"STE ANNE DE LA PERADE","46,583","-72,233","QC","-10,9","0","1,9","5,5","0","-29,5","0","54,4","0","87,0","79,6","0","98,0","10,0","13","","",ND,"894,8","0,0","7016840"
"STE BEATRIX","46,200","-73,600","QC","-11,1","1","1,7","7,0","0","-31,5","1","32,5","0","62,0","43,5","1",ND,"25,0","8","","",ND,"873,9","0,0","7016902"
"ST CHARLES DE MANDEVILLE","46,350","-73,350","QC","-10,9","0","1,8","7,0","0","-30,0","0","36,8","0","71,0","47,8","0","67,0","25,0","13","","",ND,"895,8","0,0","7016960"
"STE CHRISTINE","46,817","-71,917","QC","-15,7","10",ND,"2,0","9","-30,0","9","32,0","9",ND,"32,0","9",ND,"35,0","7","","",ND,"708,0","0,0","7017000"
"ST COME","46,283","-73,750","QC","-11,9","0","1,6","7,0","0","-33,0","0","51,2","1",ND,"62,4","1",ND,"22,0","13","","",ND,"927,7","0,0","7017080"
"ST DONAT","46,317","-74,200","QC","-12,4","2","1,0","7,0","2","-31,5","1","45,1","0","65,0","62,5","0","66,0","22,0","14","","",ND,"880,4","0,0","7017100"
"ST JACQUES","45,950","-73,583","QC","-7,8","8",ND,"7,0","7","-28,0","8","16,0","8",ND,"45,0","8",ND,"12,0","6","","",ND,"593,0","0,0","7017380"
"ST JANVIER","45,733","-73,883","QC","-4,9","13",ND,"8,0","0","-26,5","13","37,2","0",ND,"78,2","0",ND,"9,0","11","","",ND,"411,8","0,0","7017386"
"ST NARCISSE","46,533","-72,433","QC","-11,2","0","1,5","5,5","0","-31,5","0","26,4","0","62,0","50,4","0","82,0","18,0","11","","",ND,"903,9","0,0","7017585"
"STE THERESE OUEST","45,650","-73,883","QC","-8,8","0","2,1","10,0","0","-30,0","0","28,9","0","61,0","69,7","0","88,0","7,0","10","","",ND,"830,5","0,0","7017755"
"SHAWINIGAN","46,563","-72,733","QC","-10,5","0",ND,"6,0","0","-27,4","0","",,ND,"",,ND,"","","",,ND,"882,1","0,0","7018001"
"TROIS-RIVIERES","46,354","-72,516","QC","-8,5","1",ND,"6,5","1","-24,1","0","",,ND,"58,8","2",ND,"","9","",,ND,"795,0","0,0","7018562"
"TROIS-RIVIERES A","46,350","-72,683","QC","",,ND,"",,"",,"45,8","0",ND,"64,8","0",ND,"19,0","13","","",ND,"","","7018563"
"TROIS RIVIERES AQUEDUC","46,383","-72,617","QC","-9,7","0","2,4","7,0","0","-28,0","0","48,7","0","83,0","64,1","0","77,0","15,0","11","","",ND,"859,7","0,0","701HE63"
"LAC AUX SABLES","46,867","-72,400","QC","-12,4","0","1,2","4,5","0","-33,0","0","38,0","0","68,0","62,0","0","82,0","34,0","12","","",ND,"943,0","0,0","701LEEH"
"LAC SAINT-PIERRE","46,183","-72,917","QC","-7,5","2",ND,"7,1","2","-22,2","0","",,ND,"",,ND,"","","",,ND,"740,5","0,0","701LP0N"
"STE-FOY (U. LAVAL)","46,780","-71,288","QC","-9,9","0",ND,"6,7","0","-26,1","0","",,ND,"81,4","1",ND,"21,0","13","",,ND,"864,5","0,0","701Q004"
"LEMIEUX","46,304","-72,061","QC","-10,0","0",ND,"11,4","0","-30,7","0","",,ND,"76,8","1",ND,"","12","",,ND,"869,5","0,0","701Q009"
"QUEBEC/JEAN LESAGE INTL","46,789","-71,384","QC","-10,4","0",ND,"6,0","0","-27,1","0","",,ND,"70,1","0",ND,"","9","",,ND,"880,6","0,0","701S001"
"ARTHABASKA","46,017","-71,950","QC","-11,4","2","-0,6","11,5","1","-30,0","1","30,8","0","57,0","76,9","0","94,0","16,0","11","","",ND,"851,8","0,0","7020305"
"AUTEUIL","45,650","-73,733","QC","",,ND,"",,"-26,0","4","29,0","1",ND,"53,0","2",ND,"7,0","12","","",ND,"","","7020392"
"BEAUSEJOUR","46,667","-71,167","QC","-10,4","0","2,1","9,5","0","-27,0","0","49,5","0","68,0","90,3","0","98,0","27,0","12","","",ND,"880,9","0,0","7020567"
"BONSECOURS","45,400","-72,267","QC","-9,8","0","1,3","12,5","0","-30,0","0","38,0","0","54,0","76,0","0","76,0","16,0","14","","",ND,"860,7","0,0","7020828"
"BROME","45,183","-72,567","QC","-9,4","0","1,0","13,0","0","-32,0","0","33,6","0","49,0","64,4","1",ND,"13,0","15","","",ND,"850,0","0,0","7020840"
"BROMPTONVILLE","45,483","-71,950","QC","-9,6","0","1,0","13,0","0","-31,0","0","32,0","0","65,0","75,0","0","102,0","10,0","12","","",ND,"855,9","0,0","7020860"
"COATICOOK","45,150","-71,800","QC","-9,0","0","0,9","14,0","0","-28,0","0","45,2","0","77,0","85,6","1",ND,"15,0","14","","",ND,"835,7","0,0","7021840"
"DANVILLE","45,817","-71,983","QC","-8,7","3",ND,"12,5","2","-29,0","2","31,6","3",ND,"63,4","4",ND,"22,0","9","","",ND,"748,8","0,0","7021954"
"DRUMMONDVILLE","45,883","-72,483","QC","-8,0","1","2,2","12,0","1","-24,0","1","31,1","2",ND,"51,8","2",ND,"6,0","9","","",ND,"779,1","0,0","7022160"
"FARNHAM","45,300","-72,900","QC","-8,5","0","1,5","13,0","0","-31,0","0","27,0","0","54,0","73,6","0","95,0","25,0","12","","",ND,"822,5","0,0","7022320"
"FLEURY","45,800","-73,000","QC","-8,5","0","2,3","11,5","0","-30,0","0","30,0","0","67,0","63,0","0","85,0","17,0","10","","",ND,"823,0","0,0","7022375"
"FORTIERVILLE","46,483","-72,050","QC","-10,7","0","1,9","8,0","0","-29,0","0","23,5","1",ND,"46,1","1",ND,"28,0","9","","",ND,"889,8","0,0","7022494"
"FRELIGHSBURG","45,050","-72,862","QC","-7,6","0",ND,"14,0","0","-28,4","0","",,ND,"78,8","1",ND,"","16","",,ND,"794,0","0,0","7022579"
"GEORGEVILLE","45,133","-72,233","QC","-9,6","2","1,1","12,5","1","-28,5","1","35,9","1",ND,"77,7","1",ND,"16,0","13","","",ND,"801,0","0,0","7022720"
"GRANBY","45,383","-72,717","QC","-8,3","0","1,5","12,5","0","-27,5","0","31,3","0","48,0","72,6","1",ND,"19,0","13","","",ND,"815,3","0,0","7022800"
"HEMMINGFORD FOUR WINDS","45,067","-73,717","QC","-7,6","0","1,7","15,0","0","-31,0","0","35,8","0","84,0","70,2","0","119,0","23,0","14","","",ND,"794,2","0,0","7023075"
"HUNTINGDON","45,050","-74,167","QC","-7,4","0",ND,"13,0","0","-30,0","0","37,0","0",ND,"76,8","0",ND,"9,0","13","","",ND,"786,3","0,0","7023240"
"IBERVILLE","45,333","-73,250","QC","-7,3","0","2,4","13,5","0","-25,0","0","22,0","0","47,0","63,4","0","78,0","14,0","7","","",ND,"783,4","0,0","7023270"
"VARENNES","45,723","-73,377","QC","-7,9","0",ND,"11,1","0","-25,9","0","",,ND,"",,ND,"","","",,ND,"802,5","0,0","702327X"
"LAC MEGANTIC 2","45,600","-70,867","QC","-9,9","1","1,3","11,5","1","-27,5","0","25,7","2",ND,"66,5","2",ND,"12,0","11","","",ND,"837,7","0,0","7023677"
"LAPRAIRIE","45,383","-73,433","QC","-6,4","6",ND,"10,0","5","-26,0","2","23,5","0",ND,"72,1","0",ND,"10,0","11","","",ND,"608,8","0,0","7024100"
"LAURIERVILLE","46,333","-71,667","QC","-10,0","0","1,9","12,0","0","-29,0","0","39,6","0","66,0","89,2","0","103,0","18,0","12","","",ND,"866,5","0,0","7024250"
