"Environnement Canada"
"Valeurs mensuelles pour janvier - 2000"

"Légende"
"Nom","Nom de la station"
"Lat","Latitude (Nord + , degrés)"
"Long","Longitude (Ouest - , degrés)"
"Prov","Province"
"Tm","Température moyenne (°C)"
"DwTm","Jours sans température moyenne valide"
"D","Différence moyenne de température par rapport à la normale (1981-2010) (°C)"
"Tx","Température maximale (°C)"
"DwTx","Jours sans température maximale valide"
"Tn","Température minimale (°C)"
"DwTn","Jours sans température minimale valide"
"S","Chutes de neige (cm)"
"DwS","Jours sans chutes de neige valide"
"S%N","Pourcentage normale (1981-2010) de chutes de neige"
"P","Précipitations totales (mm)"
"DwP","Jours sans hauteur totale de précipitations valide"
"P%N","Pourcentage normale (1981-2010) de précipitations"
"S_G","Neige au sol à la fin du mois (cm)"
"Pd","Nombre de jours avec 1,0 mm ou plus de précipitations"
"BS","Durée d'ensoleillement (heures)"
"DwBS","Jours sans insolation effective valide"
"BS%","Pourcentage normale (1981-2010) d'ensoleillement"
"HDD","Degrés jours sous 18 °C"
"CDD","Degrés jours plus 18 °C"
"Stn_No","Identificateur de la station climatique (les 3 premiers numéros correspondent au district climatique du bassin-versant, les 4 derniers caractère servent au triage alphabétique)."
"ND","Non disponible"

"Nom","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"BEAUPORT","46,837","-71,197","QC","-11,6","0",ND,"4,5","0","-26,1","0","",,ND,"75,4","6",ND,"","10","",,ND,"917,0","0,0","7010565"
"COTEAU DU LAC","45,317","-74,167","QC","-10,3","0",ND,"8,5","0","-26,5","0","55,0","0",ND,"92,2","0",ND,"23,0","15","","",ND,"878,4","0,0","7011947"
"DESCHAMBAULT","46,667","-71,917","QC","-10,7","7","1,5","5,0","7","-29,0","7","77,5","7",ND,"108,5","7",ND,"52,0","16","","",ND,"687,9","0,0","7011982"
"DESCHAMBAULT","46,691","-71,972","QC","-13,7","0",ND,"3,4","0","-35,1","0","",,ND,"",,ND,"","","",,ND,"984,1","0,0","7011983"
"DONNACONA 2","46,683","-71,733","QC","-12,7","0","-0,4","5,0","0","-33,5","0","87,5","0","143,0","110,1","0","134,0","43,0","18","","",ND,"952,0","0,0","7012071"
"HEROUXVILLE","46,667","-72,600","QC","-14,3","0",ND,"3,0","0","-36,5","0","75,5","0",ND,"105,3","0",ND,"58,0","15","","",ND,"1002,1","0,0","7013100"
"ILE D'ORLEANS","46,997","-70,808","QC","-10,4","0",ND,"4,1","0","-25,4","0","",,ND,"",,ND,"","","",,ND,"880,7","0,0","70132G9"
"JOLIETTE VILLE","46,017","-73,433","QC","-11,7","0","-0,1","5,0","0","-30,0","0","87,0","0","169,0","101,2","0","131,0","50,0","14","","",ND,"920,1","0,0","7013362"
"LES CEDRES","45,300","-74,050","QC","-10,4","3",ND,"10,0","2","-26,0","3","27,0","5",ND,"27,0","7",ND,"","5","","",ND,"794,6","0,0","7014290"
"LOUISEVILLE","46,267","-73,017","QC","-13,4","0","-0,6","3,0","0","-35,0","0","74,0","0","159,0","84,6","0","124,0","45,0","12","","",ND,"972,6","0,0","7014332"
"MASCOUCHE","45,750","-73,600","QC","-11,0","0","-0,2","6,4","0","-30,9","0","75,8","0","176,0","96,2","0","140,0","62,0","12","","",ND,"898,5","0,0","7014629"
"OKA","45,500","-74,067","QC","-10,9","0","0,0","6,5","0","-32,0","0","61,4","0","102,0","87,2","0","97,0","34,0","13","","",ND,"895,2","0,0","7015730"
"L'ETAPE","47,562","-71,229","QC","-17,0","0",ND,"0,8","0","-35,9","0","",,ND,"101,9","0",ND,"","16","",,ND,"1085,2","0,0","7015791"
"QUEBEC/JEAN LESAGE INTL A","46,800","-71,383","QC","",,"","",,"",,"123,8","0","172,0","117,7","0","136,0","42,0","14","88,9","0","90,0","","","7016294"
