"Environnement Canada"
"Valeurs mensuelles pour janvier - 1985"

"Légende"
"Nom","Nom de la station"
"Lat","Latitude (Nord + , degrés)"
"Long","Longitude (Ouest - , degrés)"
"Prov","Province"
"Tm","Température moyenne (°C)"
"DwTm","Jours sans température moyenne valide"
"D","Différence moyenne de température par rapport à la normale (1981-2010) (°C)"
"Tx","Température maximale (°C)"
"DwTx","Jours sans température maximale valide"
"Tn","Température minimale (°C)"
"DwTn","Jours sans température minimale valide"
"S","Chutes de neige (cm)"
"DwS","Jours sans chutes de neige valide"
"S%N","Pourcentage normale (1981-2010) de chutes de neige"
"P","Précipitations totales (mm)"
"DwP","Jours sans hauteur totale de précipitations valide"
"P%N","Pourcentage normale (1981-2010) de précipitations"
"S_G","Neige au sol à la fin du mois (cm)"
"Pd","Nombre de jours avec 1,0 mm ou plus de précipitations"
"BS","Durée d'ensoleillement (heures)"
"DwBS","Jours sans insolation effective valide"
"BS%","Pourcentage normale (1981-2010) d'ensoleillement"
"HDD","Degrés jours sous 18 °C"
"CDD","Degrés jours plus 18 °C"
"Stn_No","Identificateur de la station climatique (les 3 premiers numéros correspondent au district climatique du bassin-versant, les 4 derniers caractère servent au triage alphabétique)."
"ND","Non disponible"

"Nom","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"BEAUPORT","46,883","-71,200","QC","-14,2","0",ND,"-4,0","0","-27,0","0","45,0","0",ND,"45,0","0",ND,"","8","84,7","0",ND,"998,9","0,0","7010566"
"BERTHIERVILLE","46,050","-73,183","QC","-13,6","0",ND,"-2,0","0","-27,0","0","36,9","0",ND,"36,9","0",ND,"46,0","9","83,1","0",ND,"978,6","0,0","7010720"
"CHAMPLAIN","46,467","-72,333","QC","-15,3","0",ND,"-3,0","0","-31,5","0","18,0","0",ND,"18,0","0",ND,"28,0","3","75,1","0",ND,"1031,8","0,0","7011290"
"CHARLESBOURG PARC ORLEAN","46,867","-71,267","QC","-14,4","0",ND,"-5,0","0","-28,0","0","41,6","0",ND,"41,6","0",ND,"42,0","8","","",ND,"1005,1","0,0","7011309"
"COTEAU DU LAC","45,317","-74,167","QC","-13,6","0",ND,"-1,5","0","-26,0","0","41,0","0",ND,"41,0","0",ND,"50,0","9","","",ND,"979,2","0,0","7011947"
"DESCHAMBAULT","46,667","-71,917","QC","-15,1","0","-2,9","-5,0","0","-27,0","0","37,0","0","73,0","37,0","0","48,0","44,0","6","","",ND,"1025,0","0,0","7011982"
"DONNACONA 2","46,683","-71,733","QC","-14,5","0","-2,1","-5,0","0","-27,5","0","41,3","0","68,0","41,3","0","50,0","30,0","5","","",ND,"1006,8","0,0","7012071"
"DUBERGER","46,817","-71,300","QC","-14,1","0",ND,"-4,0","0","-28,0","0","35,2","0",ND,"35,2","0",ND,"44,0","9","","",ND,"996,4","0,0","7012232"
"DUCHESNAY","46,867","-71,650","QC","-15,4","0",ND,"-2,5","0","-32,0","0","48,6","0",ND,"48,6","0",ND,"50,0","8","104,2","0",ND,"1035,2","0,0","7012240"
"HEROUXVILLE","46,667","-72,600","QC","-15,6","0",ND,"-5,0","0","-31,5","0","33,8","0",ND,"33,8","0",ND,"41,0","6","","",ND,"1042,6","0,0","7013100"
"JOLIETTE VILLE","46,017","-73,433","QC","-14,3","0","-2,8","-3,0","0","-28,0","0","42,0","0","82,0","42,0","0","54,0","68,0","9","","",ND,"1002,2","0,0","7013362"
"L'ASSOMPTION","45,809","-73,435","QC","-14,7","0",ND,"-2,0","0","-29,0","0","35,7","0",ND,"37,1","0",ND,"27,0","8","119,0","0",ND,"1014,2","0,0","7014160"
"LES CEDRES","45,300","-74,050","QC","-11,9","0",ND,"-1,0","0","-23,5","0","40,0","0",ND,"40,0","0",ND,"31,0","11","","",ND,"928,4","0,0","7014290"
"LOUISEVILLE","46,267","-73,017","QC","-15,2","0","-2,5","-3,5","0","-30,5","0","32,2","0","69,0","32,2","0","47,0","46,0","6","","",ND,"1029,5","0,0","7014332"
"MASCOUCHE","45,750","-73,600","QC","-13,9","0","-3,1","-2,0","0","-30,0","0","13,8","1",ND,"13,8","1",ND,"48,0","4","","",ND,"989,0","0,0","7014629"
"NOTRE DAME DE LA MERCI","46,233","-74,050","QC","-16,8","0",ND,"-4,0","0","-35,0","0","47,2","0",ND,"47,2","0",ND,"40,0","9","","",ND,"1079,1","0,0","7015665"
"OKA","45,500","-74,067","QC","-14,0","0","-3,1","-2,0","0","-27,0","0","42,8","0","71,0","42,8","0","47,0","14,0","11","","",ND,"992,4","0,0","7015730"
"QUEBEC/JEAN LESAGE INTL A","46,800","-71,383","QC","-14,8","0","-2,0","-4,9","0","-26,5","0","43,6","0","61,0","37,4","0","43,0","42,0","9","109,0","0","110,0","1016,1","0,0","7016294"
"RIGAUD","45,500","-74,367","QC","-13,7","0","-2,8","-1,0","0","-25,0","0","35,6","0","86,0","35,6","0","56,0","30,0","9","","",ND,"982,0","0,0","7016470"
"RIVIERE A PIERRE","47,000","-72,167","QC","-17,9","0",ND,"-5,0","0","-39,0","0","25,0","0",ND,"25,0","0",ND,"30,0","8","","",ND,"1112,0","0,0","7016560"
"RIVIERE VERTE OUEST","46,983","-71,833","QC","-15,7","0","-2,4","-6,0","0","-29,0","0","53,4","0","73,0","53,4","0","58,0","49,0","9","","",ND,"1044,7","0,0","7016675"
"ST ALBAN","46,717","-72,083","QC","-15,8","0","-3,1","-5,0","0","-32,0","0","44,7","0","90,0","44,7","0","67,0","55,0","8","","",ND,"1049,3","0,0","7016800"
"ST ALEXIS DES MONTS","46,533","-73,150","QC","-16,4","0","-3,3","-3,5","0","-35,0","0","31,2","0","58,0","31,2","0","45,0","48,0","6","","",ND,"1067,3","0,0","7016816"
"STE ANNE DE LA PERADE","46,583","-72,233","QC","-15,3","0","-2,6","-4,0","0","-31,0","0","36,0","0","57,0","36,0","0","44,0","30,0","7","","",ND,"1033,5","0,0","7016840"
