"Environnement Canada"
"Valeurs mensuelles pour janvier - 1998"

"Légende"
"Nom","Nom de la station"
"Lat","Latitude (Nord + , degrés)"
"Long","Longitude (Ouest - , degrés)"
"Prov","Province"
"Tm","Température moyenne (°C)"
"DwTm","Jours sans température moyenne valide"
"D","Différence moyenne de température par rapport à la normale (1981-2010) (°C)"
"Tx","Température maximale (°C)"
"DwTx","Jours sans température maximale valide"
"Tn","Température minimale (°C)"
"DwTn","Jours sans température minimale valide"
"S","Chutes de neige (cm)"
"DwS","Jours sans chutes de neige valide"
"S%N","Pourcentage normale (1981-2010) de chutes de neige"
"P","Précipitations totales (mm)"
"DwP","Jours sans hauteur totale de précipitations valide"
"P%N","Pourcentage normale (1981-2010) de précipitations"
"S_G","Neige au sol à la fin du mois (cm)"
"Pd","Nombre de jours avec 1,0 mm ou plus de précipitations"
"BS","Durée d'ensoleillement (heures)"
"DwBS","Jours sans insolation effective valide"
"BS%","Pourcentage normale (1981-2010) d'ensoleillement"
"HDD","Degrés jours sous 18 °C"
"CDD","Degrés jours plus 18 °C"
"Stn_No","Identificateur de la station climatique (les 3 premiers numéros correspondent au district climatique du bassin-versant, les 4 derniers caractère servent au triage alphabétique)."
"ND","Non disponible"

"Nom","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"COTEAU DU LAC","45,317","-74,167","QC","-8,1","0",ND,"6,0","0","-28,5","0","49,5","0",ND,"49,5","5",ND,"53,0","7","","",ND,"810,0","0,0","7011947"
"DESCHAMBAULT","46,691","-71,972","QC","-10,1","0",ND,"5,0","0","-33,2","0","",,ND,"",,ND,"","","0,0","0",ND,"871,9","0,0","7011983"
"DONNACONA 2","46,683","-71,733","QC","-8,9","0","3,5","6,0","0","-30,0","0","52,9","0","87,0","53,5","0","65,0","52,0","10","","",ND,"833,4","0,0","7012071"
"ILE D'ORLEANS","46,997","-70,808","QC","-7,4","1",ND,"5,3","1","-23,6","0","",,ND,"",,ND,"","","",,ND,"763,1","0,0","70132G9"
"JOLIETTE VILLE","46,017","-73,433","QC","-9,0","0","2,5","5,0","0","-30,0","0","64,0","0","125,0","82,0","0","106,0","70,0","16","","",ND,"837,5","0,0","7013362"
"L'ASSOMPTION","45,809","-73,435","QC","-8,6","0",ND,"5,6","0","-30,8","0","",,ND,"157,0","1",ND,"","15","0,0","1",ND,"825,2","0,0","7014160"
"LES CEDRES","45,300","-74,050","QC","-7,4","12",ND,"7,0","11","-26,0","12","28,0","12",ND,"26,0","13",ND,"20,0","5","","",ND,"483,2","0,0","7014290"
"OKA","45,500","-74,067","QC","-8,2","0","2,7","7,0","0","-31,0","0","66,1","0","110,0","119,5","0","133,0","7,0","13","","",ND,"811,2","0,0","7015730"
"L'ETAPE","47,562","-71,229","QC","-13,4","0",ND,"1,7","0","-35,9","0","",,ND,"89,0","0",ND,"","16","",,ND,"972,9","0,0","7015791"
"QUEBEC/JEAN LESAGE INTL A","46,800","-71,383","QC","",,"","",,"",,"112,4","0","156,0","108,3","0","125,0","51,0","13","","",ND,"","","7016294"
"ST ALBAN","46,717","-72,083","QC","-10,3","0","2,4","4,0","0","-34,0","0","69,5","0","140,0","69,5","0","104,0","78,0","14","","",ND,"877,5","0,0","7016800"
"STE ANNE DE LA PERADE","46,583","-72,233","QC","-9,8","0","2,9","4,5","0","-34,5","0","93,6","0","149,0","94,0","0","115,0","67,0","13","","",ND,"863,0","0,0","7016840"
"STE BEATRIX","46,200","-73,600","QC","-10,5","0","2,4","6,0","0","-36,0","0","69,6","0","132,0","85,6","0","114,0","81,0","16","","",ND,"882,0","0,0","7016902"
"ST COME","46,283","-73,750","QC","-10,6","0","2,9","5,5","0","-35,0","0","98,2","0","160,0","107,6","0","141,0","65,0","15","","",ND,"886,7","0,0","7017080"
