"Environnement Canada"
"Valeurs mensuelles pour janvier - 2011"

"Légende"
"Nom","Nom de la station"
"Lat","Latitude (Nord + , degrés)"
"Long","Longitude (Ouest - , degrés)"
"Prov","Province"
"Tm","Température moyenne (°C)"
"DwTm","Jours sans température moyenne valide"
"D","Différence moyenne de température par rapport à la normale (1981-2010) (°C)"
"Tx","Température maximale (°C)"
"DwTx","Jours sans température maximale valide"
"Tn","Température minimale (°C)"
"DwTn","Jours sans température minimale valide"
"S","Chutes de neige (cm)"
"DwS","Jours sans chutes de neige valide"
"S%N","Pourcentage normale (1981-2010) de chutes de neige"
"P","Précipitations totales (mm)"
"DwP","Jours sans hauteur totale de précipitations valide"
"P%N","Pourcentage normale (1981-2010) de précipitations"
"S_G","Neige au sol à la fin du mois (cm)"
"Pd","Nombre de jours avec 1,0 mm ou plus de précipitations"
"BS","Durée d'ensoleillement (heures)"
"DwBS","Jours sans insolation effective valide"
"BS%","Pourcentage normale (1981-2010) d'ensoleillement"
"HDD","Degrés jours sous 18 °C"
"CDD","Degrés jours plus 18 °C"
"Stn_No","Identificateur de la station climatique (les 3 premiers numéros correspondent au district climatique du bassin-versant, les 4 derniers caractère servent au triage alphabétique)."
"ND","Non disponible"

"Nom","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"BEAUPORT","46,837","-71,197","QC","-9,4","0",ND,"4,2","0","-27,4","0","",,ND,"28,7","0",ND,"","12","",,ND,"848,0","0,0","7010565"
"COTEAU DU LAC","45,317","-74,167","QC","-8,8","12",ND,"7,0","11","-31,0","9","34,0","7",ND,"38,2","7",ND,"24,0","11","","",ND,"509,9","0,0","7011947"
"DESCHAMBAULT","46,667","-71,917","QC","-7,1","19","5,0","4,0","17","-22,0","14","8,0","13",ND,"13,0","13",ND,"","4","","",ND,"301,1","0,0","7011982"
"DESCHAMBAULT","46,691","-71,972","QC","-11,0","0",ND,"4,1","0","-33,2","0","",,ND,"",,ND,"","","",,ND,"899,9","0,0","7011983"
"HEROUXVILLE","46,667","-72,600","QC","-12,3","4",ND,"3,5","1","-30,0","3","12,9","1",ND,"29,5","1",ND,"24,0","7","","",ND,"816,8","0,0","7013100"
"JOLIETTE VILLE","46,017","-73,433","QC","-10,0","9","1,6","5,0","8","-30,0","3","16,0","0","31,0","22,2","0","29,0","16,0","5","","",ND,"616,0","0,0","7013362"
"L'ASSOMPTION","45,809","-73,435","QC","-11,2","0",ND,"4,5","0","-32,1","0","",,ND,"25,0","0",ND,"10,0","9","",,ND,"905,9","0,0","7014160"
"LES CEDRES","45,300","-74,050","QC","-9,5","12",ND,"8,0","11","-31,0","3","55,0","0",ND,"57,4","0",ND,"33,0","17","","",ND,"521,7","0,0","7014290"
"LOUISEVILLE","46,267","-73,017","QC","-10,6","11","2,2","3,0","9","-31,5","3","13,4","1",ND,"25,4","1",ND,"11,0","7","","",ND,"572,0","0,0","7014332"
"OKA","45,500","-74,067","QC","-10,3","0","0,6","8,0","0","-30,0","0","35,3","0","59,0","35,3","1",ND,"24,0","10","","",ND,"877,0","0,0","7015730"
"L'ETAPE","47,562","-71,229","QC","-16,3","0",ND,"4,3","0","-37,1","0","",,ND,"35,0","0",ND,"","14","",,ND,"1064,0","0,0","7015791"
"QUEBEC/JEAN LESAGE INTL A","46,800","-71,383","QC","",,"","",,"",,"21,4","0","30,0","29,4","0","34,0","23,0","10","","",ND,"","","7016294"
"RIGAUD","45,500","-74,367","QC","-10,8","20","0,1","2,0","6","-32,0","17","37,2","0","90,0","37,2","0","59,0","29,0","11","","",ND,"317,3","0,0","7016470"
"RIVIERE VERTE OUEST","46,983","-71,833","QC","-11,7","3","1,6","6,0","1","-29,5","2","16,2","2",ND,"16,2","3",ND,"26,0","2","","",ND,"830,3","0,0","7016675"
"ST ALBAN","46,717","-72,083","QC","-11,0","0","1,7","6,0","0","-31,0","0","21,6","0","44,0","26,9","0","40,0","20,0","9","","",ND,"899,0","0,0","7016800"
"ST ALEXIS DES MONTS","46,533","-73,150","QC","-11,3","15","1,9","4,0","9","-31,0","8","24,0","1",ND,"25,0","1",ND,"18,0","10","","",ND,"468,5","0,0","7016816"
"STE ANNE DE LA PERADE","46,583","-72,233","QC","-10,7","0","2,0","4,0","0","-34,0","0","22,2","0","35,0","29,4","0","36,0","16,0","8","","",ND,"890,9","0,0","7016840"
"STE BEATRIX","46,200","-73,600","QC","-11,1","16","1,8","5,0","13","-30,0","6","18,5","0","35,0","22,0","0","29,0","18,0","11","","",ND,"436,2","0,0","7016902"
"ST CHARLES DE MANDEVILLE","46,350","-73,350","QC","-9,0","17","3,7","4,0","16","-31,0","1","16,3","1",ND,"25,5","1",ND,"22,0","9","","",ND,"377,4","0,0","7016960"
"STE CHRISTINE","46,817","-71,917","QC","-11,0","6",ND,"5,5","4","-30,0","4","21,7","1",ND,"29,7","1",ND,"29,0","7","","",ND,"725,0","0,0","7017000"
"ST COME","46,283","-73,750","QC","-12,1","1","1,4","4,5","0","-33,0","1","18,5","0","30,0","25,1","0","33,0","31,0","12","","",ND,"903,9","0,0","7017080"
"ST DONAT","46,317","-74,200","QC","-12,8","3","0,6","7,5","1","-33,5","2","24,6","3",ND,"34,6","3",ND,"30,0","12","","",ND,"862,2","0,0","7017100"
"ST JACQUES","45,950","-73,583","QC","-7,9","14",ND,"5,0","11","-28,0","6","16,2","0",ND,"17,4","0",ND,"12,0","8","","",ND,"440,0","0,0","7017380"
"ST NARCISSE","46,533","-72,433","QC","-11,3","5","1,3","3,0","3","-32,0","2","17,4","0","41,0","24,2","0","39,0","28,0","8","","",ND,"762,3","0,0","7017585"
"SHAWINIGAN","46,563","-72,733","QC","-11,0","0",ND,"4,5","0","-27,6","0","",,ND,"",,ND,"","","",,ND,"897,6","0,0","7018001"
"TROIS-RIVIERES","46,354","-72,516","QC","-9,8","0",ND,"4,4","0","-26,8","0","",,ND,"22,3","0",ND,"","8","",,ND,"861,5","0,0","7018562"
"TROIS-RIVIERES A","46,350","-72,683","QC","",,ND,"",,"",,"23,6","0",ND,"37,8","0",ND,"32,0","8","","",ND,"","","7018563"
"LAC AUX SABLES","46,867","-72,400","QC","-11,1","10","2,6","5,0","10","-31,0","1","15,1","1",ND,"26,6","1",ND,"30,0","8","","",ND,"610,2","0,0","701LEEH"
"LAC SAINT-PIERRE","46,183","-72,917","QC","-9,3","0",ND,"5,5","0","-26,3","0","",,ND,"",,ND,"","","",,ND,"847,0","0,0","701LP0N"
"STE-FOY (U. LAVAL)","46,780","-71,288","QC","-10,0","0",ND,"4,1","0","-28,0","0","",,ND,"26,1","0",ND,"","10","",,ND,"867,8","0,0","701Q004"
"LEMIEUX","46,304","-72,061","QC","-11,2","0",ND,"7,6","0","-34,3","0","",,ND,"31,0","0",ND,"","11","",,ND,"906,3","0,0","701Q009"
"QUEBEC/JEAN LESAGE INTL","46,789","-71,384","QC","-10,3","0",ND,"3,9","0","-28,2","0","",,ND,"29,1","0",ND,"","10","",,ND,"876,0","0,0","701S001"
"ARTHABASKA","46,017","-71,950","QC","-9,8","2","1,0","7,8","2","-30,0","0","26,6","0","49,0","29,8","0","36,0","16,0","10","","",ND,"806,4","0,0","7020305"
"AUTEUIL","45,650","-73,733","QC","-9,6","9",ND,"6,5","5","-29,0","5","18,5","2",ND,"18,5","2",ND,"18,0","9","","",ND,"607,1","0,0","7020392"
"BEAUSEJOUR","46,667","-71,167","QC","-10,8","4","1,7","4,5","3","-29,0","1","27,2","0","38,0","34,2","0","37,0","35,0","9","","",ND,"778,8","0,0","7020567"
"BONSECOURS","45,400","-72,267","QC","-11,0","9","0,0","9,0","5","-25,5","8","64,0","3",ND,"69,0","3",ND,"32,0","13","","",ND,"638,1","0,0","7020828"
"BROME","45,183","-72,567","QC","-10,4","3","0,0","9,0","3","-38,0","0","79,2","1",ND,"83,2","1",ND,"30,0","21","","",ND,"794,1","0,0","7020840"
"BROMPTONVILLE","45,483","-71,950","QC","-10,2","0","0,5","6,0","0","-34,0","0","33,0","0","67,0","38,0","0","52,0","16,0","14","","",ND,"873,5","0,0","7020860"
"COATICOOK","45,150","-71,800","QC","-10,3","2","-0,5","8,5","2","-31,3","0","62,5","1",ND,"66,1","1",ND,"28,0","15","","",ND,"821,3","0,0","7021840"
"DANVILLE","45,817","-71,983","QC","-10,2","5",ND,"9,0","2","-30,0","3","25,7","2",ND,"28,9","2",ND,"18,0","12","","",ND,"734,4","0,0","7021954"
"DRUMMONDVILLE","45,883","-72,483","QC","-8,9","12","1,3","7,5","8","-30,0","7","29,2","1",ND,"33,7","1",ND,"20,0","10","","",ND,"510,5","0,0","7022160"
"FARNHAM","45,300","-72,900","QC","-9,9","7","0,1","8,0","3","-29,5","5","43,0","1",ND,"52,8","1",ND,"42,0","14","","",ND,"669,9","0,0","7022320"
"FLEURY","45,800","-73,000","QC","-10,5","0","0,3","6,5","0","-32,5","0","30,0","1",ND,"34,0","1",ND,"13,0","13","","",ND,"883,4","0,0","7022375"
"FORTIERVILLE","46,483","-72,050","QC","-11,5","3","1,1","6,5","3","-34,0","1","19,0","0","34,0","23,6","0","31,0","23,0","9","","",ND,"825,1","0,0","7022494"
"FRELIGHSBURG","45,050","-72,862","QC","-9,2","0",ND,"10,0","0","-33,3","0","",,ND,"43,2","0",ND,"","19","",,ND,"844,6","0,0","7022579"
"GEORGEVILLE","45,133","-72,233","QC","-9,1","15","1,7","8,0","15","-33,0","8","37,0","12",ND,"37,0","13",ND,"23,0","9","","",ND,"433,0","0,0","7022720"
"GRANBY","45,383","-72,717","QC","-9,9","0","-0,1","10,0","0","-32,0","0","63,3","0","97,0","67,3","0","69,0","28,0","19","","",ND,"863,4","0,0","7022800"
"HEMMINGFORD FOUR WINDS","45,067","-73,717","QC","-9,3","0","0,0","8,0","0","-28,0","0","44,2","0","104,0","50,2","0","85,0","32,0","14","","",ND,"846,5","0,0","7023075"
"IBERVILLE","45,333","-73,250","QC","-8,3","15","1,4","9,0","9","-29,0","11","38,2","3",ND,"39,8","3",ND,"16,0","8","","",ND,"420,5","0,0","7023270"
"VARENNES","45,723","-73,377","QC","-10,6","0",ND,"5,5","0","-30,0","0","",,ND,"",,ND,"","","",,ND,"886,2","0,0","702327X"
"LAC MEGANTIC 2","45,600","-70,867","QC","-9,3","20","1,9","6,5","11","-24,5","12","28,6","6",ND,"32,0","6",ND,"20,0","6","","",ND,"300,1","0,0","7023677"
"LAPRAIRIE","45,383","-73,433","QC","-7,9","15",ND,"7,0","5","-23,0","14","30,5","9",ND,"30,5","10",ND,"15,0","5","","",ND,"414,7","0,0","7024100"
"LAURIERVILLE","46,333","-71,667","QC","-10,1","11","1,8","7,5","11","-31,0","1","26,8","0","45,0","30,0","0","35,0","16,0","9","","",ND,"561,8","0,0","7024250"
"LAUZON","46,817","-71,100","QC","-10,2","7","1,8","3,5","6","-28,5","1","20,0","0","31,0","27,0","0","35,0","16,0","8","","",ND,"677,5","0,0","7024254"
