"Environnement Canada"
"Valeurs mensuelles pour janvier - 1995"

"Légende"
"Nom","Nom de la station"
"Lat","Latitude (Nord + , degrés)"
"Long","Longitude (Ouest - , degrés)"
"Prov","Province"
"Tm","Température moyenne (°C)"
"DwTm","Jours sans température moyenne valide"
"D","Différence moyenne de température par rapport à la normale (1981-2010) (°C)"
"Tx","Température maximale (°C)"
"DwTx","Jours sans température maximale valide"
"Tn","Température minimale (°C)"
"DwTn","Jours sans température minimale valide"
"S","Chutes de neige (cm)"
"DwS","Jours sans chutes de neige valide"
"S%N","Pourcentage normale (1981-2010) de chutes de neige"
"P","Précipitations totales (mm)"
"DwP","Jours sans hauteur totale de précipitations valide"
"P%N","Pourcentage normale (1981-2010) de précipitations"
"S_G","Neige au sol à la fin du mois (cm)"
"Pd","Nombre de jours avec 1,0 mm ou plus de précipitations"
"BS","Durée d'ensoleillement (heures)"
"DwBS","Jours sans insolation effective valide"
"BS%","Pourcentage normale (1981-2010) d'ensoleillement"
"HDD","Degrés jours sous 18 °C"
"CDD","Degrés jours plus 18 °C"
"Stn_No","Identificateur de la station climatique (les 3 premiers numéros correspondent au district climatique du bassin-versant, les 4 derniers caractère servent au triage alphabétique)."
"ND","Non disponible"

"Nom","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"BERTHIERVILLE","46,050","-73,183","QC","-6,8","0",ND,"12,0","0","-31,0","0","33,6","0",ND,"66,9","0",ND,"15,0","12","","",ND,"768,2","0,0","7010720"
"CHAMPLAIN","46,467","-72,333","QC","","",ND,"","","","","","",ND,"","",ND,"","","45,3","0",ND,"","","7011290"
"CHARLESBOURG PARC ORLEAN","46,867","-71,267","QC","",,ND,"",,"",,"88,2","0",ND,"117,9","0",ND,"48,0","17","","",ND,"","","7011309"
"COTEAU DU LAC","45,317","-74,167","QC","-6,9","0",ND,"12,0","0","-29,0","0","43,5","0",ND,"73,3","1",ND,"4,0","11","","",ND,"771,1","0,0","7011947"
"DESCHAMBAULT","46,667","-71,917","QC","-8,0","0","4,1","8,5","0","-32,0","0","70,5","0","139,0","129,8","0","169,0","20,0","16","","",ND,"806,4","0,0","7011982"
"DONNACONA 2","46,683","-71,733","QC","-12,1","15","0,3","-0,5","15","-35,0","15","61,5","15",ND,"61,5","15",ND,"36,0","9","","",ND,"481,3","0,0","7012071"
"HEROUXVILLE","46,667","-72,600","QC","",,ND,"",,"",,"42,0","0",ND,"70,2","0",ND,"33,0","13","","",ND,"","","7013100"
"ILE D'ORLEANS","46,997","-70,808","QC","-8,2","16",ND,"1,2","10","-25,1","8","",,ND,"",,ND,"","","",,ND,"393,6","0,0","70132G9"
"JOLIETTE VILLE","46,017","-73,433","QC","-7,2","0","4,3","9,5","0","-29,5","0","42,0","0","82,0","123,4","0","159,0","15,0","13","","",ND,"782,7","0,0","7013362"
"L'ASSOMPTION","45,809","-73,435","QC","-7,5","0",ND,"11,1","0","-33,2","0","",,ND,"119,1","1",ND,"","18","68,2","0",ND,"791,7","0,0","7014160"
"LES CEDRES","45,300","-74,050","QC","-5,7","0",ND,"15,5","0","-26,0","0","52,3","0",ND,"52,0","4",ND,"8,0","10","","",ND,"733,6","0,0","7014290"
"LOUISEVILLE","46,267","-73,017","QC","-7,7","0","5,1","10,5","0","-34,0","0","59,2","0","127,0","136,2","0","200,0","21,0","15","53,5","6.5",ND,"795,6","0,0","7014332"
"MASCOUCHE","45,750","-73,600","QC","",,"","",,"",,"44,3","2",ND,"113,4","4",ND,"25,0","10","","",ND,"","","7014629"
"OKA","45,500","-74,067","QC","-6,9","0","4,0","13,0","0","-30,0","0","62,8","0","105,0","124,4","0","138,0","0,0","14","","",ND,"772,8","0,0","7015730"
"L'ETAPE","47,562","-71,229","QC","-13,7","0",ND,"8,2","0","-43,7","0","",,ND,"127,9","1",ND,"","17","",,ND,"984,2","0,0","7015791"
"QUEBEC/JEAN LESAGE INTL A","46,800","-71,383","QC","-8,8","0","4,0","9,8","0","-29,5","0","91,0","0","126,0","128,8","0","149,0","56,0","17","64,4","0","65,0","830,0","0,0","7016294"
"RIGAUD","45,500","-74,367","QC","-7,9","0","3,0","9,5","0","-36,0","0","39,0","0","94,0","83,4","0","131,0","6,0","8","","",ND,"803,7","0,0","7016470"
"RIVIERE VERTE OUEST","46,983","-71,833","QC","-8,9","0","4,4","8,5","0","-33,0","0","70,0","0","96,0","110,6","0","120,0","40,0","11","","",ND,"833,3","0,0","7016675"
"ST ALBAN","46,717","-72,083","QC","-8,7","0","4,0","8,0","0","-32,0","0","49,0","0","99,0","95,0","1",ND,"32,0","11","","",ND,"827,5","0,0","7016800"
"ST ALEXIS DES MONTS","46,533","-73,150","QC","",,"","",,"",,"57,0","0","107,0","92,0","0","132,0","37,0","13","","",ND,"","","7016816"
