"Environnement Canada"
"Valeurs mensuelles pour janvier - 1990"

"Légende"
"Nom","Nom de la station"
"Lat","Latitude (Nord + , degrés)"
"Long","Longitude (Ouest - , degrés)"
"Prov","Province"
"Tm","Température moyenne (°C)"
"DwTm","Jours sans température moyenne valide"
"D","Différence moyenne de température par rapport à la normale (1981-2010) (°C)"
"Tx","Température maximale (°C)"
"DwTx","Jours sans température maximale valide"
"Tn","Température minimale (°C)"
"DwTn","Jours sans température minimale valide"
"S","Chutes de neige (cm)"
"DwS","Jours sans chutes de neige valide"
"S%N","Pourcentage normale (1981-2010) de chutes de neige"
"P","Précipitations totales (mm)"
"DwP","Jours sans hauteur totale de précipitations valide"
"P%N","Pourcentage normale (1981-2010) de précipitations"
"S_G","Neige au sol à la fin du mois (cm)"
"Pd","Nombre de jours avec 1,0 mm ou plus de précipitations"
"BS","Durée d'ensoleillement (heures)"
"DwBS","Jours sans insolation effective valide"
"BS%","Pourcentage normale (1981-2010) d'ensoleillement"
"HDD","Degrés jours sous 18 °C"
"CDD","Degrés jours plus 18 °C"
"Stn_No","Identificateur de la station climatique (les 3 premiers numéros correspondent au district climatique du bassin-versant, les 4 derniers caractère servent au triage alphabétique)."
"ND","Non disponible"

"Nom","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"BERTHIERVILLE","46,050","-73,183","QC","-5,1","0",ND,"8,0","0","-24,5","0","62,0","0",ND,"88,6","0",ND,"46,0","14","40,6","2.91666666666666666666666666666666666667",ND,"714,6","0,0","7010720"
"CHAMPLAIN","46,467","-72,333","QC","-7,2","0",ND,"5,0","0","-29,0","0","58,0","0",ND,"105,2","0",ND,"65,0","18","52,1","0",ND,"780,0","0,0","7011290"
"CHARLESBOURG PARC ORLEAN","46,867","-71,267","QC","-6,7","0",ND,"5,5","0","-22,5","0","87,0","0",ND,"154,6","0",ND,"73,0","20","","",ND,"766,9","0,0","7011309"
"COTEAU DU LAC","45,317","-74,167","QC","-4,5","0",ND,"8,0","0","-26,5","0","71,0","0",ND,"85,0","1",ND,"10,0","12","","",ND,"698,7","0,0","7011947"
"DESCHAMBAULT","46,667","-71,917","QC","-6,8","0","5,3","5,0","0","-25,5","0","60,5","0","119,0","112,3","0","146,0","44,0","19","","",ND,"770,0","0,0","7011982"
"DONNACONA 2","46,683","-71,733","QC","-6,7","0","5,7","5,5","0","-25,0","0","65,2","0","107,0","118,8","0","145,0","54,0","17","","",ND,"764,5","0,0","7012071"
"DUBERGER","46,817","-71,300","QC","-6,7","0",ND,"6,0","0","-21,0","0","83,2","0",ND,"146,8","0",ND,"70,0","20","","",ND,"764,9","0,0","7012232"
"DUCHESNAY","46,867","-71,650","QC","-7,9","0",ND,"5,5","0","-27,0","0","89,2","0",ND,"145,2","0",ND,"82,0","18","60,4","0",ND,"804,3","0,0","7012240"
"HEROUXVILLE","46,667","-72,600","QC","-7,6","0",ND,"6,0","0","-26,0","0","84,5","0",ND,"95,9","0",ND,"77,0","17","","",ND,"792,7","0,0","7013100"
"JOLIETTE VILLE","46,017","-73,433","QC","-3,7","9","7,8","5,5","9","-18,0","9","66,0","5",ND,"82,8","5",ND,"40,0","13","","",ND,"477,9","0,0","7013362"
"L'ASSOMPTION","45,809","-73,435","QC","-5,1","0",ND,"7,0","0","-25,5","0","67,6","0",ND,"101,2","0",ND,"19,0","16","75,3","0",ND,"715,9","0,0","7014160"
"LES CEDRES","45,300","-74,050","QC","-3,6","0",ND,"9,0","0","-24,0","0","48,0","0",ND,"68,3","1",ND,"3,0","13","","",ND,"668,9","0,0","7014290"
"LOUISEVILLE","46,267","-73,017","QC","-6,9","0","5,9","5,0","0","-26,5","0","67,9","0","146,0","78,7","0","115,0","67,0","14","","",ND,"770,4","0,0","7014332"
"MASCOUCHE","45,750","-73,600","QC","-4,9","0","6,0","7,5","0","-23,5","0","54,2","0","126,0","90,6","0","132,0","32,0","13","","",ND,"708,9","0,0","7014629"
"NOTRE DAME DE LA MERCI","46,233","-74,050","QC","-7,6","0",ND,"6,0","0","-31,0","0","107,0","0",ND,"147,4","0",ND,"60,0","21","","",ND,"794,3","0,0","7015665"
"OKA","45,500","-74,067","QC","-4,8","0","6,0","8,0","0","-24,5","0","90,0","0","150,0","124,8","0","138,0","20,0","16","","",ND,"708,1","0,0","7015730"
"QUEBEC/JEAN LESAGE INTL A","46,800","-71,383","QC","-7,1","0","5,8","5,1","0","-22,1","0","83,6","0","116,0","136,8","0","158,0","70,0","19","60,4","0","61,0","776,6","0,0","7016294"
"RIGAUD","45,500","-74,367","QC","-4,2","0","6,7","6,0","0","-22,0","0","46,5","0","112,0","78,7","0","124,0","30,0","13","","",ND,"689,0","0,0","7016470"
"RIVIERE A PIERRE","47,000","-72,167","QC","-8,9","0",ND,"5,0","0","-30,0","0","71,0","0",ND,"103,0","0",ND,"58,0","20","","",ND,"835,0","0,0","7016560"
"RIVIERE VERTE OUEST","46,983","-71,833","QC","-7,8","0","5,5","5,0","0","-28,0","0","144,9","0","199,0","199,1","0","216,0","98,0","20","","",ND,"800,4","0,0","7016675"
"ST ALBAN","46,717","-72,083","QC","-7,5","0","5,2","7,0","0","-25,0","0","63,3","0","128,0","104,3","0","156,0","61,0","16","","",ND,"790,5","0,0","7016800"
"ST ALEXIS DES MONTS","46,533","-73,150","QC","-7,4","0","5,8","5,0","0","-27,5","0","78,5","0","147,0","88,9","0","128,0","74,0","16","","",ND,"786,5","0,0","7016816"
"STE ANNE DE LA PERADE","46,583","-72,233","QC","-6,9","0","5,9","6,0","0","-27,0","0","81,6","0","130,0","118,2","0","145,0","49,0","18","","",ND,"772,8","0,0","7016840"
"STE BEATRIX","46,200","-73,600","QC","-7,1","0","5,8","7,0","0","-28,5","0","68,0","0","129,0","98,8","0","132,0","45,0","16","48,0","0","59,0","777,9","0,0","7016902"
"ST BENOIT","45,567","-74,050","QC","-4,6","0",ND,"9,0","0","-22,5","0","72,4","0",ND,"91,7","1",ND,"30,0","16","","",ND,"701,0","0,0","7016906"
"STE CATHERINE","46,850","-71,617","QC","-7,6","0",ND,"5,5","0","-25,5","0","99,8","0",ND,"178,6","0",ND,"85,0","20","","",ND,"794,2","0,0","7016932"
"ST CHARLES DE MANDEVILLE","46,350","-73,350","QC","-7,4","0","5,3","6,0","0","-25,0","0","72,0","0","138,0","95,6","0","135,0","62,0","17","","",ND,"787,5","0,0","7016960"
"STE CHRISTINE","46,817","-71,917","QC","-8,2","0",ND,"5,0","0","-28,5","0","103,4","0",ND,"144,8","0",ND,"77,0","20","","",ND,"813,7","0,0","7017000"
"ST COME","46,283","-73,750","QC","-8,1","0","5,4","6,5","0","-28,0","0","74,0","0","120,0","88,0","0","116,0","47,0","16","","",ND,"809,5","0,0","7017080"
"ST DONAT","46,317","-74,200","QC","-7,3","0","6,1","6,5","0","-26,0","0","92,4","0","132,0","130,6","0","137,0","63,0","18","","",ND,"782,9","0,0","7017100"
"ST JACQUES","45,950","-73,583","QC","-5,5","0",ND,"6,5","0","-26,0","0","81,0","0",ND,"106,0","0",ND,"68,0","15","","",ND,"729,8","0,0","7017380"
"ST JANVIER","45,733","-73,883","QC","-5,3","0",ND,"7,0","0","-27,0","0","75,7","0",ND,"106,3","0",ND,"26,0","15","","",ND,"723,8","0,0","7017386"
"ST JOSEPH DE MEKINAC","46,917","-72,683","QC","-8,2","0",ND,"4,0","0","-30,0","0","90,4","0",ND,"99,8","0",ND,"60,0","19","","",ND,"813,7","0,0","7017422"
"ST JUSTIN","46,267","-73,100","QC","-6,4","0",ND,"7,0","0","-27,5","0","61,2","0",ND,"61,2","0",ND,"80,0","11","","",ND,"756,8","0,0","7017435"
"ST MATHIEU","46,583","-72,933","QC","-7,5","0",ND,"5,5","0","-28,0","0","92,2","0",ND,"101,0","1",ND,"70,0","16","46,1","2.91666666666666666666666666666666666667",ND,"791,9","0,0","7017555"
"ST NARCISSE","46,533","-72,433","QC","-7,1","0","5,5","7,0","0","-27,0","0","58,2","0","137,0","102,6","0","167,0","76,0","15","","",ND,"778,3","0,0","7017585"
"ST PAULIN","46,417","-73,017","QC","-7,2","0",ND,"5,5","0","-24,5","0","89,2","0",ND,"123,2","0",ND,"69,0","17","","",ND,"780,6","0,0","7017640"
