"Environnement Canada"
"Valeurs mensuelles pour janvier - 1999"

"Légende"
"Nom","Nom de la station"
"Lat","Latitude (Nord + , degrés)"
"Long","Longitude (Ouest - , degrés)"
"Prov","Province"
"Tm","Température moyenne (°C)"
"DwTm","Jours sans température moyenne valide"
"D","Différence moyenne de température par rapport à la normale (1981-2010) (°C)"
"Tx","Température maximale (°C)"
"DwTx","Jours sans température maximale valide"
"Tn","Température minimale (°C)"
"DwTn","Jours sans température minimale valide"
"S","Chutes de neige (cm)"
"DwS","Jours sans chutes de neige valide"
"S%N","Pourcentage normale (1981-2010) de chutes de neige"
"P","Précipitations totales (mm)"
"DwP","Jours sans hauteur totale de précipitations valide"
"P%N","Pourcentage normale (1981-2010) de précipitations"
"S_G","Neige au sol à la fin du mois (cm)"
"Pd","Nombre de jours avec 1,0 mm ou plus de précipitations"
"BS","Durée d'ensoleillement (heures)"
"DwBS","Jours sans insolation effective valide"
"BS%","Pourcentage normale (1981-2010) d'ensoleillement"
"HDD","Degrés jours sous 18 °C"
"CDD","Degrés jours plus 18 °C"
"Stn_No","Identificateur de la station climatique (les 3 premiers numéros correspondent au district climatique du bassin-versant, les 4 derniers caractère servent au triage alphabétique)."
"ND","Non disponible"

"Nom","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"COTEAU DU LAC","45,317","-74,167","QC","-10,5","0",ND,"7,0","0","-30,0","0","82,5","0",ND,"107,7","0",ND,"17,0","13","","",ND,"884,5","0,0","7011947"
"DESCHAMBAULT","46,667","-71,917","QC","-12,2","0","0,0","7,0","0","-34,0","0","78,0","0","154,0","98,1","0","127,0","42,0","13","","",ND,"935,0","0,0","7011982"
"DESCHAMBAULT","46,691","-71,972","QC","-13,3","0",ND,"7,1","0","-35,3","0","",,ND,"",,ND,"","","",,ND,"968,8","0,0","7011983"
"DONNACONA 2","46,683","-71,733","QC","-11,9","0","0,4","7,5","0","-33,0","0","58,7","0","96,0","94,2","0","115,0","37,0","14","","",ND,"927,1","0,0","7012071"
"HEROUXVILLE","46,667","-72,600","QC","-14,8","0",ND,"6,0","0","-38,5","0","69,5","0",ND,"113,5","0",ND,"56,0","12","","",ND,"1016,9","0,0","7013100"
"ILE D'ORLEANS","46,997","-70,808","QC","-10,2","0",ND,"6,5","0","-25,5","0","",,ND,"",,ND,"","","",,ND,"875,2","0,0","70132G9"
"JOLIETTE VILLE","46,017","-73,433","QC","-11,4","0","0,2","7,0","0","-31,0","0","76,0","0","148,0","125,4","0","162,0","40,0","12","","",ND,"910,0","0,0","7013362"
"L'ASSOMPTION","45,809","-73,435","QC","-11,0","0",ND,"8,1","0","-29,7","0","",,ND,"190,9","1",ND,"","17","0,0","1",ND,"898,7","0,0","7014160"
"LES CEDRES","45,300","-74,050","QC","-9,8","0",ND,"7,0","0","-29,0","0","74,0","0",ND,"98,0","0",ND,"16,0","16","","",ND,"863,1","0,0","7014290"
"LOUISEVILLE","46,267","-73,017","QC","-12,2","0","0,6","6,0","0","-31,5","0","103,0","0","221,0","143,6","0","210,0","50,0","13","","",ND,"935,5","0,0","7014332"
"MASCOUCHE","45,750","-73,600","QC","-10,3","0","0,5","8,0","0","-31,0","0","79,2","0","184,0","125,8","0","183,0","45,0","15","","",ND,"878,3","0,0","7014629"
"OKA","45,500","-74,067","QC","-10,7","0","0,2","10,0","0","-30,0","0","102,4","0","171,0","136,9","0","152,0","3,0","16","","",ND,"888,5","0,0","7015730"
"L'ETAPE","47,562","-71,229","QC","-16,7","1",ND,"6,2","1","-38,4","1","",,ND,"115,0","2",ND,"","10","",,ND,"1040,2","0,0","7015791"
"QUEBEC/JEAN LESAGE INTL A","46,800","-71,383","QC","",,"","",,"",,"95,7","0","133,0","129,0","0","149,0","51,0","13","105,3","0","106,0","","","7016294"
"RIGAUD","45,500","-74,367","QC","-10,9","0","0,0","7,5","0","-31,0","0","78,1","0","189,0","117,3","0","185,0","29,0","15","","",ND,"895,0","0,0","7016470"
"RIVIERE VERTE OUEST","46,983","-71,833","QC","-13,6","0","-0,3","7,5","0","-34,0","0","84,8","0","116,0","108,6","0","118,0","84,0","9","","",ND,"978,4","0,0","7016675"
"ST ALBAN","46,717","-72,083","QC","-12,8","0","-0,1","8,0","0","-32,0","0","77,5","0","156,0","109,8","0","164,0","48,0","12","","",ND,"954,5","0,0","7016800"
"ST ALEXIS DES MONTS","46,533","-73,150","QC","-13,2","0","0,0","5,0","0","-35,0","0","98,0","0","183,0","146,4","0","210,0","36,0","13","","",ND,"966,5","0,0","7016816"
"STE ANNE DE LA PERADE","46,583","-72,233","QC","-12,8","0","0,0","7,0","0","-32,5","0","86,0","0","137,0","117,3","0","144,0","22,0","11","","",ND,"954,9","0,0","7016840"
"STE BEATRIX","46,200","-73,600","QC","-13,6","0","-0,7","7,0","0","-36,0","0","57,6","0","109,0","116,8","0","156,0","48,0","12","","",ND,"978,7","0,0","7016902"
"ST CHARLES DE MANDEVILLE","46,350","-73,350","QC","-13,7","0","-1,1","5,5","0","-34,5","0","69,8","0","134,0","117,2","0","165,0","48,0","17","","",ND,"983,7","0,0","7016960"
"STE CHRISTINE","46,817","-71,917","QC","-13,4","0",ND,"7,0","0","-36,0","0","58,4","0",ND,"83,6","0",ND,"64,0","10","","",ND,"972,3","0,0","7017000"
"ST COME","46,283","-73,750","QC","-13,8","0","-0,3","7,5","0","-37,0","0","103,0","0","168,0","132,6","0","174,0","52,0","16","","",ND,"986,9","0,0","7017080"
"ST JACQUES","45,950","-73,583","QC","-12,4","0",ND,"6,0","0","-33,5","0","70,0","0",ND,"121,2","0",ND,"38,0","13","","",ND,"941,2","0,0","7017380"
"ST JANVIER","45,733","-73,883","QC","-11,9","0",ND,"7,0","0","-33,5","0","88,0","0",ND,"128,8","0",ND,"12,0","12","","",ND,"926,2","0,0","7017386"
"ST NARCISSE","46,533","-72,433","QC","-12,8","0","-0,1","7,0","0","-32,0","0","85,8","0","203,0","117,0","0","191,0","45,0","12","","",ND,"954,5","0,0","7017585"
"STE THERESE OUEST","45,650","-73,883","QC","-10,1","0","0,8","8,0","0","-28,0","0","64,3","0","136,0","104,1","0","132,0","23,0","16","","",ND,"870,6","0,0","7017755"
"SHAWINIGAN","46,563","-72,733","QC","-11,9","2",ND,"6,2","2","-30,1","2","",,ND,"",,ND,"","","",,ND,"866,6","0,0","7018001"
"TROIS-RIVIERES","46,354","-72,516","QC","-11,1","0",ND,"5,7","0","-29,5","0","",,ND,"99,7","2",ND,"","15","",,ND,"900,9","0,0","7018562"
"BEAUCEVILLE","46,205","-70,785","QC","-11,6","1",ND,"9,5","1","-34,9","1","",,ND,"46,1","20",ND,"","5","",,ND,"888,4","0,0","7018754"
"VILLEROY (STE-FRANCOISE)","46,304","-72,061","QC","-12,9","2",ND,"8,9","2","-39,4","2","",,ND,"192,3","3",ND,"","17","",,ND,"894,7","0,0","7018766"
"TROIS RIVIERES AQUEDUC","46,383","-72,617","QC","-12,0","0","0,1","7,5","0","-30,0","0","99,9","0","171,0","134,3","0","162,0","46,0","14","","",ND,"931,1","0,0","701HE63"
"LAC AUX SABLES","46,867","-72,400","QC","-13,7","0","0,0","5,5","0","-35,0","0","66,4","0","118,0","97,4","0","129,0","38,0","10","","",ND,"982,5","0,0","701LEEH"
"LAC SAINT-PIERRE","46,183","-72,917","QC","-10,9","6",ND,"6,3","6","-32,2","6","",,ND,"",,ND,"","","",,ND,"721,5","0,0","701LP0N"
"STE-FOY (U. LAVAL)","46,780","-71,288","QC","-11,7","0",ND,"7,5","0","-29,5","0","",,ND,"40,0","2",ND,"","5","0,0","1",ND,"920,0","0,0","701Q004"
"QUEBEC/JEAN LESAGE INTL","46,789","-71,384","QC","-12,3","0",ND,"6,9","0","-31,8","0","",,ND,"109,6","0",ND,"","16","0,0","1",ND,"939,6","0,0","701S001"
"ARTHABASKA","46,017","-71,950","QC","-10,8","0","-0,1","10,0","0","-35,0","0","68,8","0","126,0","107,4","0","131,0","14,0","14","","",ND,"893,8","0,0","7020305"
"AUTEUIL","45,650","-73,733","QC","-10,4","0",ND,"7,0","0","-30,0","0","65,2","0",ND,"65,2","1",ND,"40,0","13","","",ND,"879,7","0,0","7020392"
"BEAUSEJOUR","46,667","-71,167","QC","-12,3","0","0,2","9,5","0","-37,0","0","89,5","0","123,0","123,7","0","135,0","74,0","16","","",ND,"940,3","0,0","7020567"
"BONSECOURS","45,400","-72,267","QC","-10,2","0","0,9","10,0","0","-33,0","0","85,0","0","121,0","123,8","0","124,0","20,0","21","","",ND,"872,9","0,0","7020828"
"BROME","45,183","-72,567","QC","-9,4","0","1,0","14,0","0","-35,0","0","76,4","0","111,0","120,2","0","123,0","5,0","20","","",ND,"850,1","0,0","7020840"
"BROMPTONVILLE","45,483","-71,950","QC","-9,7","0","1,0","9,0","0","-36,0","0","69,0","0","140,0","94,6","0","129,0","5,0","16","","",ND,"857,3","0,0","7020860"
"COATICOOK","45,150","-71,800","QC","-9,3","0","0,5","10,5","0","-35,0","0","82,6","0","141,0","111,8","0","138,0","3,0","19","","",ND,"847,8","0,0","7021840"
"DANVILLE","45,817","-71,983","QC","-9,8","0",ND,"9,0","0","-33,0","0","76,9","0",ND,"97,4","0",ND,"6,0","12","","",ND,"861,8","0,0","7021954"
"DRUMMONDVILLE","45,883","-72,483","QC","-10,3","0","-0,1","9,5","0","-35,0","0","80,2","0","135,0","104,2","0","122,0","11,0","17","","",ND,"877,4","0,0","7022160"
"FARNHAM","45,300","-72,900","QC","-9,6","0","0,4","9,0","0","-32,0","0","80,4","0","160,0","120,4","0","155,0","4,0","14","","",ND,"854,3","0,0","7022320"
"FLEURY","45,800","-73,000","QC","-10,6","0","0,3","8,5","0","-32,0","0","82,9","0","185,0","113,9","0","154,0","10,0","13","","",ND,"886,1","0,0","7022375"
"FORTIERVILLE","46,483","-72,050","QC","-12,5","0","0,0","9,0","0","-38,0","0","85,0","0","151,0","116,8","0","154,0","38,0","12","","",ND,"946,3","0,0","7022494"
"FRELIGHSBURG","45,050","-72,862","QC","-8,1","0",ND,"13,2","0","-31,2","0","",,ND,"85,5","1",ND,"","16","",,ND,"809,1","0,0","7022579"
"GEORGEVILLE","45,133","-72,233","QC","-11,5","0","-0,8","7,0","0","-39,5","0","87,2","0","112,0","133,5","0","129,0","20,0","20","","",ND,"913,8","0,0","7022720"
"GRANBY","45,383","-72,717","QC","-9,1","0","0,6","11,5","0","-32,5","0","72,6","0","112,0","118,0","0","121,0","3,0","16","","",ND,"840,8","0,0","7022800"
"HEMMINGFORD FOUR WINDS","45,067","-73,717","QC","-9,2","0","0,1","10,0","0","-37,0","0","70,8","0","167,0","86,8","0","148,0","7,0","13","","",ND,"843,2","0,0","7023075"
"HUNTINGDON","45,050","-74,167","QC","-10,8","0",ND,"12,0","0","-29,0","0","63,5","0",ND,"107,3","0",ND,"5,0","15","","",ND,"892,4","0,0","7023240"
"IBERVILLE","45,333","-73,250","QC","-9,3","0","0,4","9,5","0","-31,0","0","72,2","0","154,0","105,8","0","130,0","0,0","14","","",ND,"845,9","0,0","7023270"
"VARENNES","45,723","-73,377","QC","-9,6","5",ND,"7,3","5","-30,5","5","",,ND,"",,ND,"","","",,ND,"716,3","0,0","702327X"
"LAC MEGANTIC 2","45,600","-70,867","QC","-6,8","21","4,4","5,5","21","-33,0","17","0,0","19",ND,"21,8","20",ND,"","2","","",ND,"247,7","0,0","7023677"
"LAPRAIRIE","45,383","-73,433","QC","-9,3","0",ND,"8,0","0","-30,0","0","63,7","0",ND,"97,1","0",ND,"0,0","10","","",ND,"847,6","0,0","7024100"
"LA PROVIDENCE","45,617","-72,950","QC","","",ND,"","","","","","",ND,"","",ND,"","","112,1","0",ND,"","","7024102"
"LAURIERVILLE","46,333","-71,667","QC","-11,7","0","0,1","11,5","0","-38,0","0","69,6","0","116,0","114,4","0","133,0","10,0","11","","",ND,"922,2","0,0","7024250"
"LAUZON","46,817","-71,100","QC","-12,4","0","-0,4","7,0","0","-34,0","0","137,4","0","215,0","151,0","0","195,0","74,0","15","","",ND,"942,8","0,0","7024254"
"LENNOXVILLE","45,369","-71,824","QC","-9,4","0",ND,"11,2","0","-36,2","0","",,ND,"84,9","1",ND,"","17","0,0","1",ND,"848,6","0,0","7024280"
"LINGWICK","45,633","-71,367","QC","",,ND,"",,"",,"82,6","0",ND,"120,6","0",ND,"9,0","19","","",ND,"","","7024320"
"MAGOG","45,267","-72,117","QC","-10,1","0","0,1","7,0","0","-32,0","0","68,3","0","122,0","99,3","0","124,0","12,0","16","","",ND,"869,8","0,0","7024440"
"MARIEVILLE","45,400","-73,133","QC","-9,8","0","0,5","10,0","0","-31,5","0","86,0","0","190,0","103,4","0","144,0","0,0","13","","",ND,"860,5","0,0","7024627"
"MCTAVISH","45,505","-73,579","QC","-8,3","3",ND,"9,4","3","-27,8","3","",,ND,"117,6","4",ND,"","18","",,ND,"737,3","0,0","7024745"
"MILAN","45,583","-71,117","QC","-10,9","0","0,7","13,0","0","-37,0","0","83,2","0","108,0","105,7","1",ND,"23,0","19","","",ND,"895,4","0,0","7024920"
"MONT-ORFORD","45,312","-72,241","QC","-12,3","0",ND,"7,5","0","-31,6","0","",,ND,"146,5","1",ND,"","26","",,ND,"940,5","0,0","7025229"
"MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","45,467","-73,750","QC","-9,2","0","0,5","9,0","0","-27,3","0","95,1","0","192,0","148,1","0","192,0","7,0","14","110,5","0","109,0","843,9","0,0","7025250"
"MONTREAL-EST","45,635","-73,553","QC","-9,5","1",ND,"8,6","1","-28,2","1","",,ND,"",,ND,"","","",,ND,"825,2","0,0","7025252"
"NICOLET","46,200","-72,617","QC","-12,1","0","0,0","7,0","0","-33,0","0","92,0","0","191,0","111,0","0","188,0","34,0","12","","",ND,"932,0","0,0","7025440"
"NICOLET","46,226","-72,657","QC","-11,3","1",ND,"7,3","1","-28,8","1","",,ND,"116,5","2",ND,"","16","",,ND,"878,3","0,0","7025442"
"NOTRE DAME DES BOIS","45,400","-71,083","QC","-10,6","0","1,1","11,0","0","-32,0","0","104,8","0","118,0","142,0","0","128,0","22,0","21","","",ND,"886,6","0,0","7025670"
"ORMSTOWN","45,117","-74,050","QC","-9,2","0","0,1","15,5","0","-32,0","0","55,0","0","134,0","79,6","0","118,0","5,0","14","","",ND,"843,8","0,0","7025745"
"PHILIPSBURG","45,033","-73,083","QC","-8,2","0","0,4","13,0","0","-32,0","0","57,8","0","124,0","83,4","0","113,0","3,0","15","","",ND,"812,2","0,0","7026040"
"PIERREVILLE","46,083","-72,833","QC","-11,5","0","0,0","7,5","0","-34,0","0","76,0","0","163,0","97,4","0","131,0","37,0","10","","",ND,"914,6","0,0","7026043"
"RICHMOND","45,633","-72,133","QC","-9,8","0",ND,"9,0","0","-34,5","0","90,4","0",ND,"108,2","0",ND,"5,0","17","","",ND,"862,3","0,0","7026465"
"RIVIERE DES PRAIRIES","45,700","-73,500","QC","-11,0","0","-0,7","8,0","0","-31,0","0","67,0","0","164,0","106,0","0","155,0","34,0","12","","",ND,"899,3","0,0","7026612"
"SABREVOIS","45,217","-73,200","QC","-9,1","0","0,6","10,0","0","-32,0","0","60,0","0","147,0","87,0","0","138,0","0,0","14","","",ND,"840,9","0,0","7026734"
"ST ANICET","45,133","-74,350","QC","-9,3","0","-0,1","12,0","0","-31,0","0","81,9","0","199,0","116,1","0","169,0","25,0","16","","",ND,"846,1","0,0","7026836"
"ST BERNARD DE LACOLLE","45,083","-73,383","QC","-9,3","0","-0,8","9,5","0","-31,5","0","62,6","0","165,0","78,3","0","151,0","5,0","14","","",ND,"844,9","0,0","7026916"
"STE-CLOTHILDE","45,167","-73,679","QC","-9,5","1",ND,"9,9","1","-32,2","1","",,ND,"92,9","1",ND,"","14","",,ND,"825,7","0,0","7027039"
"ST COME DE LINIERE","46,050","-70,517","QC","-12,0","0","0,1","13,0","0","-40,0","0","28,8","0","63,0","43,0","0","65,0","21,0","13","","",ND,"928,6","0,0","7027083"
